City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saipan,15.1355,145.701,300.73,100,75,3.6,MP,1690037032
1,assai,-23.3733,-50.8414,295.07,48,0,4.33,BR,1690037032
2,aldan,58.6031,125.3894,287.46,90,67,2.59,RU,1690037033
3,grytviken,-54.2811,-36.5092,269.92,94,100,0.98,GS,1690037033
4,rocky mountain house,52.3668,-114.9188,289.21,88,36,0.51,CA,1690036801
5,oranjemund,-28.55,16.4333,287.04,57,100,3.92,NA,1690037033
6,bikenibeu village,1.3673,173.1241,300.13,89,100,0.0,KI,1690037034
7,colac,-38.3333,143.5833,281.58,89,86,1.57,AU,1690037034
8,remire-montjoly,4.9167,-52.2667,304.17,62,40,3.09,GF,1690037034
9,severo-yeniseyskiy,60.3725,93.0408,292.47,69,99,1.49,RU,1690037034
10,bethel,41.3712,-73.414,298.16,65,0,4.12,US,1690037034
11,papatowai,-46.5619,169.4708,280.82,96,78,4.21,NZ,1690037035
12,barbezieux-saint-hilaire,45.4726,-0.1522,297.88,36,55,5.0,FR,1690037035
13,edinburgh of the seven seas,-37.0676,-12.3116,286.11,74,13,9.65,SH,1690037036
14,bonthe,7.5264,-12.505,300.02,80,73,5.58,SL,1690037036
15,invercargill,-46.4,168.35,276.54,92,14,2.32,NZ,1690037037
16,longyearbyen,78.2186,15.6401,282.06,71,40,3.6,SJ,1690037037
17,adamstown,-25.066,-130.1015,294.06,61,96,7.0,PN,1690037037
18,blackmans bay,-43.0167,147.3167,282.33,87,85,1.63,AU,1690037038
19,port-aux-francais,-49.35,70.2167,275.76,83,97,12.53,TF,1690037038
20,puerto ayora,-0.7393,-90.3518,300.13,77,40,5.35,EC,1690037038
21,katabu,-4.9333,122.5167,296.58,85,25,2.62,ID,1690037039
22,waitangi,-43.9535,-176.5597,284.16,96,100,2.24,NZ,1690037039
23,klyuchi,52.2667,79.1667,291.8,65,56,0.44,RU,1690037039
24,anadyr,64.75,177.4833,287.43,82,75,3.0,RU,1690037039
25,northam,51.0333,-4.2167,291.7,97,100,9.91,GB,1690037040
26,porto novo,6.4965,2.6036,299.05,69,79,5.95,BJ,1690036870
27,puerto natales,-51.7236,-72.4875,271.26,83,40,1.67,CL,1690037040
28,tiksi,71.6872,128.8694,281.78,89,75,3.23,RU,1690037040
29,castillos,-34.1667,-53.8333,297.52,61,100,7.12,UY,1690037041
30,bilibino,68.0546,166.4372,284.57,85,83,2.44,RU,1690037041
31,yambio,4.5721,28.3955,300.51,66,100,1.77,SS,1690037041
32,nevel',56.0209,29.9284,290.86,61,100,1.18,RU,1690037041
33,tofol,5.3248,163.0078,300.95,78,100,4.22,FM,1690037041
34,vilyuchinsk,52.9306,158.4028,288.3,87,54,3.92,RU,1690037042
35,enewetak,11.3474,162.3373,301.62,78,61,5.86,MH,1690037042
36,phnom penh,11.5625,104.916,301.1,83,40,3.09,KH,1690036820
37,broken hill,-31.95,141.4333,282.95,60,95,3.53,AU,1690036816
38,guiuan,11.0333,125.7247,301.19,77,100,9.51,PH,1690037043
39,codrington,-38.2667,141.9667,283.57,92,100,3.9,AU,1690037043
40,mata-utu,-13.2816,-176.1745,301.1,78,90,2.08,WF,1690037043
41,holualoa,19.6228,-155.9522,298.63,78,100,2.57,US,1690037044
42,iqaluit,63.7506,-68.5145,280.0,93,75,3.6,CA,1690037044
43,jamestown,42.097,-79.2353,297.6,62,0,3.6,US,1690036970
44,ilulissat,69.2167,-51.1,284.16,76,75,2.57,GL,1690037044
45,lihue,21.9789,-159.3672,298.92,83,75,6.17,US,1690037045
46,college,64.8569,-147.8028,293.09,74,20,0.0,US,1690037045
47,mutsu,41.2894,141.2169,292.98,97,85,1.6,JP,1690037045
48,crane,31.3974,-102.3501,300.73,52,100,5.96,US,1690037045
49,hasaki,35.7333,140.8333,297.76,85,0,2.66,JP,1690037046
50,atafu village,-8.5421,-172.5159,301.54,70,2,3.77,TK,1690037046
51,agios nikolaos,35.1914,25.7133,308.02,33,0,3.53,GR,1690037046
52,san patricio,28.017,-97.5169,304.86,55,2,2.64,US,1690037046
53,beboto,8.2668,16.939,306.17,47,78,1.88,TD,1690037047
54,bredasdorp,-34.5322,20.0403,287.61,58,1,2.96,ZA,1690037047
55,i-n-salah,27.1935,2.4607,319.05,5,0,2.29,DZ,1690037047
56,mayya,61.7333,130.2811,287.77,75,37,2.13,RU,1690037048
57,ushuaia,-54.8,-68.3,272.96,80,40,5.14,AR,1690037048
58,camana,-16.6228,-72.7111,293.32,69,0,4.96,PE,1690037048
59,olonkinbyen,70.9221,-8.7187,279.41,76,100,1.63,SJ,1690037049
60,novaci,45.1833,23.6667,301.79,42,0,2.64,RO,1690037049
61,wailua homesteads,22.0669,-159.378,298.59,84,75,6.17,US,1690037049
62,alaghsas,17.0187,8.0168,313.09,29,20,3.09,NE,1690037049
63,margaret river,-33.95,115.0667,285.21,79,0,2.48,AU,1690036840
64,berwick,41.0545,-76.2333,298.78,66,0,0.89,US,1690037050
65,aasiaat,68.7098,-52.8699,276.47,98,100,2.09,GL,1690037050
66,vernon,50.2581,-119.2691,296.17,46,9,1.34,CA,1690037050
67,thompson,55.7435,-97.8558,287.24,67,20,3.6,CA,1690036938
68,ulladulla,-35.35,150.4667,281.22,78,0,2.68,AU,1690037051
69,yellowknife,62.456,-114.3525,290.44,63,75,2.57,CA,1690036562
70,zhelezinka,53.54,75.3072,296.79,42,88,5.23,KZ,1690037051
71,judenburg,47.1667,14.6667,290.94,88,75,6.69,AT,1690037052
72,drayton valley,53.2168,-114.9854,289.99,88,84,0.78,CA,1690037052
73,kayangel,8.0823,134.7173,301.07,79,100,4.48,PW,1690037052
74,saldanha,-33.0117,17.9442,291.18,68,0,3.2,ZA,1690037053
75,tura,25.5198,90.2201,298.39,94,95,1.38,IN,1690037053
76,pisco,-13.7,-76.2167,293.18,73,20,2.06,PE,1690037053
77,stanley,54.868,-1.6985,288.92,93,75,3.09,GB,1690037053
78,port elizabeth,-33.918,25.5701,290.31,77,0,4.12,ZA,1690037054
79,west island,-12.1568,96.8225,297.14,94,75,6.69,CC,1690037054
80,susuman,62.7833,148.1667,287.82,96,100,0.57,RU,1690037040
81,nyandoma,61.669,40.1991,284.5,99,100,2.98,RU,1690037054
82,tyukhtet,56.5389,89.3011,291.03,96,97,5.76,RU,1690037055
83,jayapura,-2.5333,140.7,298.81,87,43,0.24,ID,1690037055
84,ust-nera,64.5667,143.2,284.28,93,100,2.26,RU,1690037055
85,fale old settlement,-9.3852,-171.2468,301.36,74,4,2.85,TK,1690037055
86,westport,41.1415,-73.3579,299.31,67,0,6.69,US,1690037056
87,neptune beach,30.3119,-81.3965,305.43,68,0,6.17,US,1690037056
88,ploneour-lanvern,47.9,-4.2833,291.33,72,100,7.72,FR,1690037056
89,punta arenas,-53.15,-70.9167,273.47,71,24,4.35,CL,1690037057
90,teploye,53.6202,37.5903,292.31,64,100,3.01,RU,1690037057
91,thal,35.4791,72.2439,293.73,89,92,1.28,PK,1690037058
92,bomi,7.2461,-11.5258,299.53,86,96,2.85,SL,1690037058
93,albany,42.6001,-73.9662,296.5,66,1,1.79,US,1690037019
94,berdigestyakh,62.0989,126.6992,288.81,71,93,1.36,RU,1690037059
95,mikhaylovskaya,44.9947,40.5964,303.51,41,1,2.62,RU,1690037059
96,whitehorse,60.7161,-135.0538,286.93,86,75,1.03,CA,1690037060
97,murzuq,25.9155,13.9184,313.64,9,0,1.03,LY,1690037060
98,hermanus,-34.4187,19.2345,289.15,60,0,6.01,ZA,1690037061
99,prado,-17.3411,-39.2208,297.16,75,50,4.71,BR,1690036858
100,magalia,39.8121,-121.5783,300.99,31,100,1.46,US,1690037062
101,brookings,44.3114,-96.7984,297.34,91,53,4.05,US,1690037063
102,diapaga,12.0708,1.7889,303.75,57,91,3.14,BF,1690037063
103,port lincoln,-34.7333,135.8667,284.67,65,28,6.58,AU,1690037063
104,mildura,-34.2,142.15,283.61,54,100,1.79,AU,1690037064
105,vila velha,-20.3297,-40.2925,297.12,82,75,5.66,BR,1690037064
106,nantucket,41.2835,-70.0995,298.23,84,27,0.41,US,1690037018
107,ribeira grande,38.5167,-28.7,296.91,83,20,2.06,PT,1690037064
108,north bend,43.4065,-124.2243,287.18,100,100,0.0,US,1690037065
109,t'aebaek,37.1759,128.9889,293.78,89,100,2.22,KR,1690037065
110,margate,51.3813,1.3862,289.76,86,100,3.13,GB,1690037037
111,guayaramerin,-10.8368,-65.3614,304.18,51,0,3.09,BO,1690037065
112,phan thiet,10.9333,108.1,298.42,90,100,3.52,VN,1690037066
113,kingscliff,-28.2667,153.5667,283.58,81,40,2.57,AU,1690037066
114,pangody,65.85,74.4859,295.25,61,74,1.18,RU,1690037066
115,east london,-33.0153,27.9116,296.67,40,0,3.09,ZA,1690037067
116,cova figueira,14.8905,-24.2934,297.27,77,6,6.77,CV,1690037067
117,tolanaro,-25.0319,46.9987,294.19,78,40,6.17,MG,1690037067
118,wadesboro,34.9682,-80.0767,299.75,57,0,2.06,US,1690037067
119,westhill,57.1526,-2.2797,291.11,76,75,5.66,GB,1690037067
120,st. john's,47.5649,-52.7093,299.81,69,40,6.17,CA,1690037039
121,barra,-11.0894,-43.1417,299.59,51,70,5.01,BR,1690036908
122,tartouss,34.889,35.8866,302.45,66,0,3.77,SY,1690037069
123,el oro de hidalgo,19.8,-100.1333,284.39,74,83,1.31,MX,1690037069
124,aoulef,26.9667,1.0833,318.82,5,0,3.27,DZ,1690037069
125,diamante,-32.0664,-60.6384,300.08,36,39,9.45,AR,1690037070
126,ouro preto,-20.3948,-43.5052,291.23,61,87,2.34,BR,1690037070
127,port saint john's,-31.6229,29.5448,293.58,69,73,2.99,ZA,1690037071
128,newman,37.3138,-121.0208,296.34,15,29,1.4,US,1690037072
129,udachny,66.4167,112.4,296.18,49,55,5.19,RU,1690037072
130,lebu,-37.6167,-73.65,284.3,84,43,3.23,CL,1690037072
131,fort bragg,35.139,-79.006,302.49,67,100,2.68,US,1690037073
132,la passe,45.5549,-0.8967,298.28,57,9,5.52,FR,1690037073
133,pacocha,-17.5833,-71.3333,291.23,77,75,6.69,PE,1690037073
134,cuatro cienegas de carranza,26.9833,-102.0833,301.93,48,5,2.11,MX,1690037074
135,paoua,7.2427,16.4406,301.86,64,70,1.34,CF,1690037074
136,amurzet,47.6967,131.0981,293.95,77,100,1.92,RU,1690037074
137,tazovsky,67.4667,78.7,290.4,90,92,2.92,RU,1690037074
138,semera,11.501,41.201,311.75,20,74,2.62,ET,1690037075
139,komsomol'skiy,43.9783,46.6985,306.65,30,95,5.71,RU,1690037075
140,gunjur,13.2019,-16.7339,305.19,62,75,4.12,GM,1690037075
141,babat,-7.1128,112.1635,296.63,83,18,2.54,ID,1690037075
142,utrik,11.2278,169.8474,301.34,72,82,7.57,MH,1690037075
143,georgetown,5.4112,100.3354,303.12,80,20,2.06,MY,1690036906
144,ihosy,-22.4,46.1167,289.08,93,81,3.2,MG,1690037076
145,belomorsk,64.5232,34.7668,284.94,92,100,3.67,RU,1690037076
146,mount pearl,47.5166,-52.7813,299.34,69,40,6.17,CA,1690037076
147,shetpe,44.1667,52.1167,308.49,21,0,5.53,KZ,1690037076
148,rioverde,21.9333,-99.9833,295.93,74,93,0.65,MX,1690037077
149,nar'yan-mar,67.6713,53.087,288.69,88,91,6.11,RU,1690037077
150,lompoc,34.6391,-120.4579,285.38,100,75,1.54,US,1690037077
151,buulobarde,3.8538,45.5674,302.63,53,100,9.47,SO,1690037077
152,pitiquito,30.7,-112.0833,307.32,32,6,2.41,MX,1690037077
153,mar del plata,-38.0023,-57.5575,285.34,89,75,4.47,AR,1690036969
154,petropavlovsk-kamchatsky,53.0452,158.6483,287.48,94,0,4.0,RU,1690037078
155,kirensk,57.7853,108.1119,291.33,69,6,0.65,RU,1690037078
156,koson,39.0375,65.585,311.33,14,0,5.38,UZ,1690037078
157,gushu,31.5598,118.4829,301.14,93,83,2.19,CN,1690037078
158,qaqortoq,60.7167,-46.0333,283.88,80,90,1.76,GL,1690037079
159,kelowna,49.8831,-119.4857,297.4,46,0,0.0,CA,1690036959
160,hammerfest,70.6634,23.6821,288.4,63,76,6.17,NO,1690037079
161,kurchatov,51.6601,35.6521,293.38,90,100,3.58,RU,1690037079
162,stephenville,32.2207,-98.2023,301.41,63,100,4.63,US,1690037079
163,kodinsk,58.6881,99.1844,293.73,55,0,1.75,RU,1690037080
164,khandyga,62.6667,135.6,285.06,95,2,0.52,RU,1690037080
165,andergrove,-21.0833,149.1833,290.18,73,21,2.21,AU,1690037080
166,kailua-kona,19.6406,-155.9956,300.7,80,100,2.57,US,1690037080
167,zhanaozen,43.3,52.8,310.31,14,0,4.07,KZ,1690037080
168,gisborne,-38.6533,178.0042,282.37,85,100,2.09,NZ,1690037080
169,kourou,5.1552,-52.6478,304.18,67,17,3.7,GF,1690037081
170,sinop,41.7711,34.8709,298.19,58,0,2.74,TR,1690037081
171,hithadhoo,-0.6,73.0833,301.41,73,81,2.15,MV,1690037081
172,kapuskasing,49.4169,-82.4331,291.2,52,20,1.54,CA,1690037081
173,east ballina,-28.8667,153.5833,281.93,78,77,4.61,AU,1690037082
174,taraz,42.9,71.3667,307.38,22,62,5.0,KZ,1690037082
175,imperial beach,32.5839,-117.1131,292.71,93,100,0.0,US,1690037082
176,bel ombre,-4.6167,55.4167,299.06,78,40,4.12,SC,1690037082
177,coquimbo,-29.9533,-71.3436,287.0,71,0,4.12,CL,1690037082
178,talnakh,69.4865,88.3972,293.82,77,99,1.85,RU,1690037083
179,hawaiian paradise park,19.5933,-154.9731,296.5,97,100,1.54,US,1690037083
180,'ain deheb,34.8422,1.547,311.89,9,67,3.29,DZ,1690037083
181,macapa,0.0389,-51.0664,303.14,70,20,3.6,BR,1690037083
182,happy valley-goose bay,53.3168,-60.3315,295.32,64,75,4.12,CA,1690037083
183,bargaal,11.2864,51.0773,307.58,40,97,12.31,SO,1690037084
184,tokmok,42.8417,75.3016,300.76,32,1,1.72,KG,1690037084
185,tyukalinsk,55.8732,72.1967,294.23,56,76,2.75,RU,1690037084
186,sierra grande,-41.606,-65.3557,285.26,40,95,8.53,AR,1690037084
187,sheregesh,52.9209,87.9869,286.02,97,97,1.04,RU,1690037085
188,belmonte,-15.8631,-38.8828,296.4,86,68,4.84,BR,1690037085
189,ambo,-10.1308,-76.2047,292.82,51,23,1.98,PE,1690037085
190,warrnambool,-38.3833,142.4833,283.04,88,66,1.99,AU,1690037085
191,dudinka,69.4058,86.1778,294.05,78,83,2.62,RU,1690037086
192,uturoa,-16.7333,-151.4333,297.2,75,100,6.46,PF,1690037086
193,san luis de la loma,17.2706,-100.8939,302.5,65,98,1.6,MX,1690037086
194,polyarnyy,69.1989,33.4478,283.44,81,84,7.45,RU,1690037086
195,siwa oasis,29.2041,25.5195,315.69,10,0,7.89,EG,1690037087
196,ribeira brava,32.65,-17.0667,299.1,72,1,2.42,PT,1690037087
197,kolyvan',55.3053,82.7391,292.94,74,56,4.19,RU,1690037087
198,labrador city,52.9463,-66.9114,290.1,88,100,2.57,CA,1690036810
199,live oak,36.9836,-121.9805,297.51,64,100,0.0,US,1690037087
200,oropesa del mar,40.1,0.15,304.76,70,74,3.92,ES,1690037088
201,usinsk,65.9939,57.5281,289.57,97,100,3.05,RU,1690037088
202,isafjordur,66.0755,-23.124,284.17,82,100,4.12,IS,1690036901
203,vadso,70.0744,29.7487,282.64,87,100,7.2,NO,1690037088
204,tazacorte,28.629,-17.9293,298.79,76,20,9.77,ES,1690037088
205,tabou,4.423,-7.3528,299.34,74,98,4.82,CI,1690037088
206,avarua,-21.2078,-159.775,295.18,83,75,5.66,CK,1690037089
207,nyagan,62.1406,65.3936,293.81,59,44,2.64,RU,1690037089
208,kodiak,57.79,-152.4072,280.88,100,100,1.54,US,1690037089
209,ghormach,35.7306,63.7826,306.99,11,0,5.57,AF,1690037090
210,port alfred,-33.5906,26.891,292.69,69,100,3.78,ZA,1690037090
211,mzuzu,-11.4656,34.0207,293.58,49,0,2.06,MW,1690037090
212,sake,-1.5736,29.045,298.64,40,21,2.04,CD,1690037090
213,san rafael,-34.6177,-68.3301,286.27,39,93,3.65,AR,1690036864
214,miles city,46.4083,-105.8406,296.69,40,0,3.6,US,1690037090
215,borodulikha,50.7184,80.9295,292.88,51,19,4.2,KZ,1690037091
216,naze,28.3667,129.4833,300.66,85,99,2.97,JP,1690037091
217,pathein,16.7833,94.7333,299.33,90,100,2.78,MM,1690037091
218,prince rupert,54.3161,-130.3201,287.98,100,100,3.6,CA,1690036810
219,kingston,17.997,-76.7936,304.95,69,40,3.09,JM,1690037091
220,langon,44.5,-0.3333,301.36,32,0,2.4,FR,1690037092
221,lata,40.1629,-8.3327,302.87,43,0,6.27,PT,1690037092
222,elmali,36.7358,29.9177,304.9,19,0,6.15,TR,1690037092
223,nova sintra,14.8667,-24.7167,296.22,78,18,8.34,CV,1690037092
224,santa maria,-29.6842,-53.8069,297.76,57,0,8.23,BR,1690037092
225,chonchi,-42.6128,-73.8092,277.71,79,99,1.79,CL,1690037093
226,souillac,-20.5167,57.5167,296.36,83,75,6.69,MU,1690037093
227,acapulco de juarez,16.8634,-99.8901,301.05,74,100,3.09,MX,1690037093
228,ibaiti,-23.8486,-50.1878,293.86,58,0,2.86,BR,1690037093
229,vizinga,61.0749,50.1031,293.33,56,23,2.22,RU,1690037093
230,maturin,9.75,-63.1767,303.74,58,100,3.08,VE,1690037093
231,belyy yar,53.6039,91.3903,292.09,77,0,1.0,RU,1690037094
232,iskateley,67.6803,53.1512,288.82,88,91,6.02,RU,1690037094
233,puerto carreno,6.189,-67.4859,298.14,94,40,3.09,CO,1690037094
234,egilsstadir,65.2653,-14.3948,286.1,82,75,4.12,IS,1690037094
235,chernyshevskiy,63.0128,112.4714,292.19,61,8,1.4,RU,1690037094
236,port mathurin,-19.6833,63.4167,296.59,71,0,9.83,MU,1690037095
237,tosontsengel,48.7567,98.2839,286.86,75,99,1.25,MN,1690037095
238,daru,-9.0763,143.2092,297.75,74,18,5.11,PG,1690037095
239,vorgashor,67.5833,63.95,293.96,78,100,2.48,RU,1690037095
240,ar ruways,24.1103,52.7306,307.54,65,16,3.81,AE,1690037095
241,arfoud,31.4348,-4.2375,314.7,6,6,6.69,MA,1690037096
242,tvoroyri,61.5556,-6.8111,284.28,86,13,6.54,FO,1690037096
243,carutapera,-1.195,-46.02,303.74,53,10,3.59,BR,1690037096
244,ancud,-41.8697,-73.8203,278.66,87,100,2.12,CL,1690037096
245,panadura,6.7132,79.9026,299.64,87,87,3.99,LK,1690037096
246,bubaque,11.2833,-15.8333,300.87,76,18,5.54,GW,1690037097
247,lai chau,22.3997,103.4517,296.2,86,31,1.62,VN,1690037097
248,sant lluis,39.8526,4.2594,302.37,58,20,4.12,ES,1690037097
249,riversdale,18.1659,-76.9642,304.34,48,23,1.79,JM,1690037097
250,hueytamalco,19.95,-97.2667,298.41,65,60,1.74,MX,1690037097
251,hobe sound,27.0595,-80.1364,307.03,69,40,2.57,US,1690037098
252,hobyo,5.3505,48.5268,298.9,74,94,12.26,SO,1690037098
253,afaahiti,-17.75,-149.2833,295.08,68,88,4.63,PF,1690037098
254,astara,38.5,48.6667,301.14,48,1,2.32,AZ,1690037098
255,alesund,62.4723,6.1549,290.66,72,40,4.63,NO,1690037098
256,colonia,50.9333,6.95,299.24,32,0,4.63,DE,1690037098
257,vila franca do campo,37.7167,-25.4333,295.38,64,33,1.95,PT,1690037099
258,badger,64.8,-147.5333,293.04,78,0,0.0,US,1690037099
259,pedernales,18.0384,-71.744,303.85,60,8,2.2,DO,1690037099
260,agramunt,41.7869,1.0968,306.51,26,100,3.34,ES,1690037099
261,ishigaki,24.3448,124.1572,302.22,84,20,3.09,JP,1690037099
262,polgardi,47.061,18.302,299.48,41,98,2.76,HU,1690037100
263,okhotsk,59.3833,143.3,286.66,97,98,0.67,RU,1690037100
264,luderitz,-26.6481,15.1594,288.43,56,100,4.61,NA,1690037100
265,curuzu cuatia,-29.7917,-58.0546,299.82,49,93,11.93,AR,1690037100
266,sunan,39.1983,125.69,296.77,94,100,7.19,KP,1690037101
267,karachi,24.9056,67.0822,305.05,66,75,3.09,PK,1690036554
268,maraba,-5.3686,-49.1178,306.25,38,0,3.6,BR,1690037101
269,isla vista,34.4133,-119.861,304.45,94,100,2.57,US,1690037101
270,xilin hot,43.9667,116.0333,290.66,87,100,1.43,CN,1690037101
271,kolonia,50.9333,6.95,299.24,32,0,4.63,DE,1690037102
272,ad-damazin,11.7891,34.3592,303.01,55,74,5.17,SD,1690037102
273,quelimane,-17.8786,36.8883,296.12,78,75,4.63,MZ,1690037103
274,sault ste. marie,46.5168,-84.3333,294.31,74,0,3.09,CA,1690037086
275,brisas de zicatela,15.8369,-97.0419,301.44,78,0,3.6,MX,1690037103
276,levuka,50.1834,-105.4011,291.05,45,21,1.01,CA,1690037104
277,morehead city,34.7229,-76.726,302.16,79,75,3.09,US,1690037104
278,rezekne,56.5,27.3167,287.03,87,100,3.35,LV,1690037104
279,babu,24.4167,111.5167,300.27,88,55,1.39,CN,1690037105
280,kaduy,59.2,37.15,291.25,56,100,5.48,RU,1690037105
281,huarmey,-10.0681,-78.1522,295.04,73,5,3.33,PE,1690037105
282,ad dilam,23.9915,47.1627,318.38,5,87,2.75,SA,1690037105
283,keflavik,64.0049,-22.5624,286.39,67,75,0.51,IS,1690037106
284,phan rang-thap cham,11.5667,108.9833,299.08,87,100,2.07,VN,1690037106
285,taro,-8.3862,115.28,295.15,89,78,1.42,ID,1690037107
286,saint-denis,48.9167,2.3333,300.24,40,0,6.69,FR,1690037107
287,withernsea,53.7311,0.0335,290.29,90,100,7.28,GB,1690037108
288,wenchang,30.904,118.4887,299.16,92,98,1.75,CN,1690037108
289,selfoss,63.9331,-20.9971,287.62,71,98,3.06,IS,1690037108
290,bhimunipatnam,17.8833,83.4333,298.88,82,100,4.33,IN,1690037108
